# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 17 16:51:16 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmax not null
# CONSTRAINT:  and pl_rade not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
#
pl_name,pl_orbsmax,pl_rade
1RXS J160929.1-210524 b,330.000000,18.647
2MASS J02192210-3925225 b,156.000000,16.141
55 Cnc e,0.015440,2.080
55 Cnc e,0.015440,1.920
55 Cnc e,0.015830,2.173
55 Cnc e,0.015830,2.000
55 Cnc e,0.015440,1.910
55 Cnc e,0.015440,1.875
AU Mic b,0.066000,4.203
BD+20 594 b,0.241000,2.230
CFHTWIR-Oph 98 b,200.000000,20.849
CT Cha b,440.000000,24.660
CoRoT-1 b,0.025360,17.385
CoRoT-1 b,0.025900,15.917
CoRoT-1 b,0.027520,19.223
CoRoT-1 b,0.026100,16.589
CoRoT-10 b,0.106000,10.548
CoRoT-10 b,0.105500,10.873
CoRoT-10 b,0.105500,10.870
CoRoT-11 b,0.043510,15.581
CoRoT-11 b,0.044070,16.029
CoRoT-11 b,0.043600,16.030
CoRoT-11 b,0.044000,15.984
CoRoT-12 b,0.040130,16.141
CoRoT-12 b,0.040160,16.140
CoRoT-12 b,0.039200,15.065
CoRoT-12 b,0.039400,15.132
CoRoT-13 b,0.051000,14.034
CoRoT-13 b,0.051000,9.920
CoRoT-13 b,0.051070,9.920
CoRoT-14 b,0.027000,12.220
CoRoT-14 b,0.026910,12.218
CoRoT-14 b,0.026870,11.411
CoRoT-16 b,0.061800,13.110
CoRoT-16 b,0.061800,13.115
CoRoT-17 b,0.048100,11.287
CoRoT-17 b,0.048100,11.433
CoRoT-17 b,0.046100,11.430
CoRoT-18 b,0.029500,14.680
CoRoT-18 b,0.028800,12.846
CoRoT-18 b,0.029500,14.684
CoRoT-18 b,0.028600,14.022
CoRoT-19 b,0.051800,14.460
CoRoT-19 b,0.051200,13.339
CoRoT-19 b,0.051660,14.460
CoRoT-2 b,0.028100,16.432
CoRoT-2 b,0.028350,16.365
CoRoT-2 b,0.028540,16.477
CoRoT-2 b,0.027980,16.432
CoRoT-2 b,0.028100,16.421
CoRoT-20 b,0.090200,9.420
CoRoT-20 b,0.089200,13.002
CoRoT-20 b,0.089100,11.209
CoRoT-20 b,0.090100,9.416
CoRoT-21 b,0.041600,14.572
CoRoT-21 b,0.041700,14.572
CoRoT-22 b,0.092000,4.880
CoRoT-23 b,0.048090,13.227
CoRoT-23 b,0.048400,11.769
CoRoT-23 b,0.048000,11.770
CoRoT-24 b,0.056000,3.700
CoRoT-24 c,0.098000,5.000
CoRoT-25 b,0.057800,12.110
CoRoT-25 b,0.057890,12.106
CoRoT-26 b,0.052500,14.123
CoRoT-26 b,0.052600,14.120
CoRoT-27 b,0.046700,11.287
CoRoT-27 b,0.047600,11.287
CoRoT-28 b,0.060300,10.705
CoRoT-28 b,0.059000,10.705
CoRoT-29 b,0.039000,10.088
CoRoT-29 b,0.038600,10.088
CoRoT-3 b,0.057400,11.321
CoRoT-3 b,0.056940,11.135
CoRoT-3 b,0.057830,11.624
CoRoT-30 b,0.084400,11.310
CoRoT-31 b,0.058600,16.365
CoRoT-4 b,0.091200,13.002
CoRoT-4 b,0.090000,13.340
CoRoT-4 b,0.090250,13.339
CoRoT-5 b,0.049470,15.558
CoRoT-5 b,0.049630,15.558
CoRoT-5 b,0.049500,14.079
CoRoT-5 b,0.050040,13.249
CoRoT-6 b,0.085500,13.068
CoRoT-6 b,0.085400,13.070
CoRoT-6 b,0.085500,13.283
CoRoT-7 b,0.016900,1.861
CoRoT-7 b,0.017016,1.585
CoRoT-7 b,0.017200,1.680
CoRoT-8 b,0.063000,6.390
CoRoT-8 b,0.063390,6.389
CoRoT-8 b,0.063600,6.938
CoRoT-8 b,0.063300,7.981
CoRoT-9 b,0.407000,11.770
CoRoT-9 b,0.402700,11.624
CoRoT-9 b,0.402900,11.949
CoRoT-9 b,0.402100,11.949
CoRoTID 223977153 b,0.071000,6.389
EPIC 201170410.02,0.034900,1.047
EPIC 201757695.02,0.029600,0.908
EPIC 201841433 b,0.035000,1.040
EPIC 211822797 b,0.131000,1.980
EPIC 211945201 b,0.149300,5.760
EPIC 211945201 b,0.148000,6.120
EPIC 212737443 b,0.098000,2.586
EPIC 212737443 c,0.280000,2.690
EPIC 220674823 b,0.013400,1.820
EPIC 220674823 b,0.011600,1.520
EPIC 220674823 b,0.013120,1.820
