pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,rowupdate
11 Com b,11 Com,1,2,1,0,Radial Velocity,2007,Xinglong Station,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,94.8000,1.5000,-1.5000,0,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,2014-05-14
11 UMi b,11 UMi,1,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,2018-09-04
14 And b,14 And,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,0.0000,,,0,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,2014-05-14
14 Her b,14 Her,1,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,,,,,,,,,,,,,0.370000,0.000000,0.000000,0,,,,,,,,,,,,,,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,2018-09-04
16 Cyg B b,16 Cyg B,1,3,1,0,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,,,,,,,,,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,,,,,,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,2018-09-04
18 Del b,18 Del,1,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,,,,,,,,,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,166.1000,6.5000,-6.5000,0,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,0.6217000,-0.6217000,2014-05-14
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,0,Imaging,2008,Gemini Observatory,,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,,,,,,,,,1700,100,-100,0,,,,,,,,,K7 V,4060.00,300.00,-200.00,0,,,,,0.85,0.20,-0.10,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,1.3320000,-1.3070000,2015-04-01
24 Boo b,24 Boo,1,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,210.0000,100.0000,-130.0000,0,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,0.6368500,-0.6368500,2018-04-25
24 Sex b,24 Sex,1,1,2,0,Radial Velocity,2010,Lick Observatory,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,9.2000,277.9000,-165.4000,0,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,2014-05-14
24 Sex c,24 Sex,1,1,2,0,Radial Velocity,2010,Lick Observatory,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,,,,,,,,,0.290000,0.160000,-0.090000,0,,,,,,,,,220.5000,182.2000,-320.9000,0,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,2014-05-14
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,Imaging,2013,Paranal Observatory,,,,,84.000000,,,0,,,,,4131.79000,317.83000,-317.83000,0,,,,,,,,,,,,,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,2020-09-08
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,0,Imaging,2013,W. M. Keck Observatory,,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,,,,,,,,,,,,,,,,,,,,,M3.5 V,3530.00,50.00,-50.00,0,,,,,0.40,0.05,-0.05,0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,0.0864000,-0.0860000,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,,,,,,,,,,,,,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,2015-05-14
